 5n-lacey.09-Eng        Tebo-ICT,  license #BoJie

 Test Fixture Nails     296/296  Selected Drills           05-May-2018 11:05
                        296 Nails,  2417 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$282     -5.0807    1.2469   3  AA   (T)  #819  REG5             T PIN MTTP60003.1
$283     -4.9449    1.0742   2  AA   (T)  #791  PMIC_SAM_RSMRST_N T PIN MTTP59003.1
$284     -4.8539    1.1351   3  AA   (T)  #1085 DDR_VTT_CTL      T PIN MTTP59004.1
$285     -4.8228    1.0914   3  AA   (T)  #1306 SKL_SLP_S3_N     T PIN MTTP59002.1
$286     -4.8248    1.0382   3  AA   (T)  #1261 PCH_PWRBTN_N     T PIN MTTP59007.1
$287     -4.7756    0.9103   3  AA   (T)  #1307 SKL_SLP_S0_N     T PIN MTTP59001.1
$288     -4.6240    0.9457   2  AA   (T)  #598  SKL_SYS_PWROK    T PIN MTTP59010.1
$291     -3.4744    0.3650   3  AA   (T)  #792  PMIC_SAM_ALL_SYS_PWRGD T PIN MTTP59009.1
$292     -1.5394    0.7087   2  AA   (T)  #77   V_ALWAYS_ON      T PIN MTTP56007.1
$293     -1.7100    1.4650   2  AA   (T)  #751  PCH_SYS_RST_N    T PIN MTTP22010.1
$294     -1.8188    2.0438   3  AA   (T)  #1350 SPI_SI           T PIN MTTP37003.1
$295     -1.8392    2.2414   3  AA   (T)  #1352 SPI_WP_IO2       T PIN MTTP37005.1
$296     -1.8868    2.2864   3  AA   (T)  #1354 SPI_CS0_N        T PIN MTTP37007.1
$297     -1.8396    2.2904   3  AA   (T)  #1349 SPI_CLK          T PIN MTTP37002.1
$298     -1.7815    2.3307   3  AA   (T)  #1351 SPI_SO           T PIN MTTP37004.1
$299     -1.7500    2.2982   3  AA   (T)  #623  SPI1_EXT         T PIN MTTP37001.1
$300     -1.7136    2.3317   3  AA   (T)  #1353 SPI_HOLD_IO3_N   T PIN MTTP37006.1
