 5n-lacey.09-Eng        Tebo-ICT,  license #BoJie

 Test Fixture Nails     296/296  Selected Drills           05-May-2018 11:05
                        296 Nails,  2417 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$65      -8.2839    1.7457   3  AA   (B)  #61   AMP_SPK_LP       T PIN MTP41008.1
$66      -8.5087    1.5941   2  AA   (B)  #91   SAM_SEN_HALL_INT T PIN MTP41011.1
$67      -8.5089    1.5354   3  AA   (B)  #55   MIC1_R_CR_F_C    T PIN MTP41002.1
$68      -8.5118    1.4843   3  AA   (B)  #54   HPOUT_R_F_C      T PIN MTP41005.1
$69      -8.5158    1.4252   3  AA   (B)  #53   HPOUT_L_F_C      T PIN MTP41004.1
$70      -8.2037    1.3110   1  AA   (B)  #18   AGND             T PIN MTP41003.1
$71      -7.9671    1.2364   1  AA   (B)  #52   HPOUT_JD         T PIN MTP41001.1
$72      -7.7303    1.4835   1  AA   (B)  #504  CODEC_PD_N       T PIN MTP40001.1
$73      -7.5961    1.9119   1  AA   (B)  #822  5V_AUDIO         T PIN MTP64004.1
$74      -7.4803    1.7879   1  AA   (B)  #628  1P8V_AUDIO       T PIN MTP62001.1
$75      -7.2589    1.0244   2  AA   (B)  #2    GND              T PIN MTP_BF70012.1
$76      -7.2589    0.9654   3  AA   (B)  #2    GND              T PIN MTP_BF70011.1
$77      -7.2589    0.9063   3  AA   (B)  #2    GND              T PIN MTP_BF70010.1
$78      -7.2589    0.8472   2  AA   (B)  #2    GND              T PIN MTP_BF70009.1
$79      -7.2589    0.7882   3  AA   (B)  #2    GND              T PIN MTP_BF70007.1
$80      -7.2589    0.7291   2  AA   (B)  #2    GND              T PIN MTP_BF70008.1
$81      -7.1998    0.7291   3  AA   (B)  #78   VDD_BAT          T PIN MTP_BF70005.1
$82      -7.1998    0.7882   2  AA   (B)  #78   VDD_BAT          T PIN MTP_BF70003.1
$83      -7.1998    0.8472   3  AA   (B)  #78   VDD_BAT          T PIN MTP_BF70004.1
$84      -7.1998    0.9063   3  AA   (B)  #78   VDD_BAT          T PIN MTP_BF70006.1
$85      -7.1998    0.9654   2  AA   (B)  #78   VDD_BAT          T PIN MTP_BF70002.1
$86      -7.1998    1.0244   3  AA   (B)  #78   VDD_BAT          T PIN MTP_BF70001.1
$87      -6.6693    1.1782   1  AA   (B)  #1    VSYS             T PIN MTP63001.1
$88      -6.1575    0.9921   1  AA   (B)  #5    V5A              T PIN MTP58005.1
$89      -6.2974    0.2797   1  AA   (B)  #328  3P3V_WWAN        T PIN MTP65006.1
$90      -6.3337    0.0321   3  AA   (B)  #667  WF_CNFG_HST3     T PIN MTTP50008.1
$91      -6.3862    0.0139   3  AA   (B)  #664  WF_CNFG_HST1     T PIN MTTP50006.1
$92      -6.3457   -0.0279   3  AA   (B)  #666  WF_CNFG_HST2     T PIN MTTP50007.1
$93      -6.3781   -0.0972   3  AA   (B)  #1507 SER_CLK          T PIN MTTP50016.1
$94      -6.3267   -0.1072   3  AA   (B)  #786  SER_DAT          T PIN MTTP50015.1
$95      -6.2947   -0.0401   3  AA   (B)  #668  WF_CNFG_HST0     T PIN MTTP50005.1
$96      -6.2734    0.0202   2  AA   (B)  #670  SER_CSN          T PIN MTTP50014.1
$97      -6.1730    0.0828   1  AA   (B)  #1492 WIFI_GPIO1       T PIN MTTP50002.1
$98      -6.1659   -0.0390   2  AA   (B)  #383  AT0              T PIN MTP_BF50002.1
$99      -6.0990   -0.0291   2  AA   (B)  #384  RF_CNTL0_N       T PIN MTP_BF50003.1
$100     -6.0189   -0.0142   3  AA   (B)  #1509 N56809408        T PIN MTTP50009.1
$101     -5.9702    0.0261   2  AA   (B)  #1510 N56809410        T PIN MTTP50010.1
$102     -6.0020   -0.0640   3  AA   (B)  #1511 N56809179        T PIN MTTP50011.1
$103     -5.8992   -0.1207   1  AA   (B)  #669  N56809055        T PIN MTTP50012.1
$104     -5.8384    0.0399   1  AA   (B)  #382  M_PDN            T PIN MTP_BF50001.1
$105     -5.3514    0.0659   1  AA   (B)  #72   TRACKPAD_INT_N_R2 T PIN MTP48010.1
$106     -5.2628    0.1890   1  AA   (B)  #5    V5A              T PIN MTP64005.1
$107     -5.2136    0.1240   3  AA   (B)  #68   SAM_KIP_UART_TX  T PIN MTP48008.1
$108     -5.1630    0.1370   3  AA   (B)  #618  PCH_UART1_TXD    T PIN MTP33002.1
$109     -5.1720    0.0862   3  AA   (B)  #619  PCH_UART1_RXD    T PIN MTP33001.1
$110     -5.2254    0.0679   3  AA   (B)  #67   KIP_IO           T PIN MTP48011.1
$111     -5.2126    0.0207   3  AA   (B)  #489  SAM_DEBUG_RX     T PIN MTP31009.1
$112     -5.1604   -0.0345   1  AA   (B)  #492  SAM_DEBUG_TX     T PIN MTP31010.1
$113     -5.1122    0.0773   2  AA   (B)  #71   SAM_KIP_RST      T PIN MTP48009.1
$114     -5.0640    0.5659   3  AA   (B)  #831  TS_TDI_BUF       T PIN MTP31004.1
