 5n-lacey.09-Eng        Tebo-ICT,  license #BoJie
R16019       -3.3731    2.9491  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R16020       -3.3475    2.9491  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R16021       -4.3182    2.8441   90.0  AA   (B)  '0603_P55MM-S_B', '0603_P55MM-S_B'
R16022       -3.6775    2.4729  270.0  AA   (B)  '0201_P28_B', '0201_P28_B'
R16023       -3.7208    2.4729  270.0  AA   (B)  '0201_P28_B', '0201_P28_B'
R16024       -3.6991    2.4729  270.0  AA   (B)  '0201_P28_B', '0201_P28_B'
R16025       -3.5266    2.9176  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R16026       -3.5266    2.8645   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R16027       -4.0839    2.9176  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R16028       -4.0839    2.8645   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R16029       -3.4902    2.9068    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R16030       -3.4776    2.9355    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R16031       -4.0475    2.9068    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R16032       -4.0573    2.9481  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R16033       -3.3041    2.9065    0.0  AA   (B)  '0402_P4MM-S_B', '0402_P4MM-S_B'
R16034       -3.8839    2.8853   90.0  AA   (B)  '0402_P4MM-S_B', '0402_P4MM-S_B'
R16035       -3.9168    2.8851   90.0  AA   (B)  '0402_P4MM-S_B', '0402_P4MM-S_B'
R16036       -3.3041    2.8770    0.0  AA   (B)  '0402_P4MM-S_B', '0402_P4MM-S_B'
R16037       -3.2234    2.5256  180.0  AA   (T)  '0603_P55MM-S', '0603_P55MM-S'
R17001       -3.0975    2.9491  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17002       -3.0719    2.9491  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17003       -3.0463    2.9491  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17004       -3.0571    2.9068  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17005       -3.0207    2.9176  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17006       -2.8672    2.9176  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17007       -2.8412    2.8970   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17008       -2.8416    2.9491  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17009       -2.8160    2.9491  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17010       -2.7904    2.9491  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17011       -2.5411    2.9432  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17012       -2.5155    2.9432  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17013       -2.4899    2.9432  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17014       -2.5004    2.9068  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17015       -2.4639    2.9176  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17016       -2.3104    2.9176  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17017       -2.2740    2.9068    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17018       -2.2852    2.9432  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17019       -2.2596    2.9432  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17020       -2.2340    2.9432  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17021       -2.6662    2.7774  270.0  AA   (B)  '0201_P28_B', '0201_P28_B'
R17022       -2.6878    2.7774  270.0  AA   (B)  '0201_P28_B', '0201_P28_B'
R17023       -2.6445    2.7774  270.0  AA   (B)  '0201_P28_B', '0201_P28_B'
R17024       -2.9695    2.9176  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17025       -2.9695    2.8645   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17026       -2.4128    2.9176  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17027       -2.4139    2.8632   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17028       -2.9331    2.9068    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17029       -2.9331    2.9383    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17030       -2.3763    2.9068    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17031       -2.3763    2.9383    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R17032       -2.7658    2.8848   90.0  AA   (B)  '0402_P4MM-S_B', '0402_P4MM-S_B'
R17033       -2.1528    2.9307    0.0  AA   (B)  '0402_P4MM-S_B', '0402_P4MM-S_B'
R17034       -2.7963    2.8848   90.0  AA   (B)  '0402_P4MM-S_B', '0402_P4MM-S_B'
R17035       -2.1532    2.8988    0.0  AA   (B)  '0402_P4MM-S_B', '0402_P4MM-S_B'
R18005       -4.1421    1.6498    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R18015       -4.0468    1.8126    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R18018       -4.1809    1.6903   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R18019       -4.2097    1.6763   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R18021       -4.5173    1.8840    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R18024       -4.1435    1.6939    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R18025       -4.1439    1.6721    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R18026       -4.5295    1.9685    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R19001       -3.5500    2.6905  135.0  AA   (B)  '0201_P26MM_B', '0201_P26MM_B'
R19002       -4.0418    2.8320  180.0  AA   (B)  '0201_P26MM_B', '0201_P26MM_B'
R19003       -3.8236    2.3874  270.0  AA   (B)  '0402_P4MM-S_B', '0402_P4MM-S_B'
R19004       -3.7854    2.3169    0.0  AA   (B)  '0201_P26MM_B', '0201_P26MM_B'
R19005       -3.5244    2.6629  315.0  AA   (B)  '0201_P26MM_B', '0201_P26MM_B'
R19006       -4.0200    2.8537  180.0  AA   (B)  '0201_P26MM_B', '0201_P26MM_B'
R19007       -3.8237    2.3186  270.0  AA   (B)  '0402_P4MM-S_B', '0402_P4MM-S_B'
R19008       -3.8091    2.2697    0.0  AA   (B)  '0402_P4MM-S_B', '0402_P4MM-S_B'
R19010       -2.9949    2.5626  180.0  AA   (B)  '0201_P26MM_B', '0201_P26MM_B'
R19011       -3.7468    2.3874  270.0  AA   (B)  '0402_P4MM-S_B', '0402_P4MM-S_B'
R19012       -2.9949    2.5842    0.0  AA   (B)  '0201_P26MM_B', '0201_P26MM_B'
R19013       -3.7469    2.3186  270.0  AA   (B)  '0402_P4MM-S_B', '0402_P4MM-S_B'
R20002       -2.0506    0.4955  270.0  AA   (B)  '0201_P28_B', '0201_P28_B'
R20005       -3.0791    1.6496  270.0  AA   (B)  '0402_P4MM-S_B', '0402_P4MM-S_B'
R20006       -1.7874    2.0374  270.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R20007       -1.7441    2.0374  270.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R20009       -2.7658    2.5098    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R20011       -2.8278    2.4764    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R20012       -2.8283    2.5198    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R20014       -2.8283    2.4982    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R20015       -2.6772    2.5640  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R20017       -2.0143    1.5549    0.0  AA   (B)  '0201_P26MM_B', '0201_P26MM_B'
R20019       -4.2156   -0.1142   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R20021       -2.3319    0.2559    0.0  AA   (B)  '0201_P28_B', '0201_P28_B'
R20030       -2.6350    0.5433   90.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R20031       -2.4902    0.6063  270.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R20032       -2.4902    0.5650  270.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R20033       -2.6350    0.5906   90.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R21004       -2.0049    1.6073   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R21007       -2.0193    2.1585  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R21008       -2.0404    2.1585  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R21009       -2.0404    2.1988   90.0  AA   (B)  '0201_P26MM_B', '0201_P26MM_B'
R21010       -1.9016    2.1102  180.0  AA   (B)  '0201_P26MM_B', '0201_P26MM_B'
R21011       -1.9016    2.1535  180.0  AA   (B)  '0201_P26MM_B', '0201_P26MM_B'
R21012       -2.0335    2.2510  180.0  AA   (B)  '0201_P26MM_B', '0201_P26MM_B'
R21013       -2.0187    2.1988   90.0  AA   (B)  '0201_P26MM_B', '0201_P26MM_B'
R21014       -1.9616    1.5177  270.0  AA   (B)  '0201_P26MM_B', '0201_P26MM_B'
R21015       -1.9400    1.5177  270.0  AA   (B)  '0201_P26MM_B', '0201_P26MM_B'
R21016       -1.9183    1.5177  270.0  AA   (B)  '0201_P26MM_B', '0201_P26MM_B'
R21019       -1.9833    1.5177  270.0  AA   (B)  '0201_P26MM_B', '0201_P26MM_B'
R21020       -2.0285    2.5581   90.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R21021       -2.3337    2.5630  180.0  AA   (B)  '0201_P26MM_B', '0201_P26MM_B'
R21023       -1.9016    2.1319  180.0  AA   (B)  '0201_P26MM_B', '0201_P26MM_B'
R21024       -1.9596    2.2638   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R21025       -2.0029    2.2638   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R21026       -1.9380    2.2638   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R21027       -1.9813    2.2638   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R21029       -2.3337    2.5846  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R21031       -1.9183    1.7274   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R22001       -2.0276    2.2293  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R22004       -2.4134    2.5630  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R22005       -3.7598    1.2589  270.0  AA   (B)  '0402_P4MM-S_B', '0402_P4MM-S_B'
R22006       -1.8100    1.5659   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R22008       -2.6368    2.5640  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R22009       -2.6368    2.5413  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R22010       -2.6368    2.5856  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R22011       -2.4134    2.5413  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R22012       -1.9104    2.0787   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R22013       -4.6821    0.8898  180.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R22014       -4.7234    0.9114  180.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R22018       -1.8671    2.0787  270.0  AA   (B)  '0201_P28_B', '0201_P28_B'
R22019       -2.4134    2.5846  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R22020       -2.6368    2.5197    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R22021       -2.6772    2.4980  180.0  AA   (B)  '0201_P33_B', '0201_P33_B'
R22022       -2.5817    2.4646  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R22024       -4.6821    0.9114  180.0  AA   (T)  '0201_P28MM', '0201_P28MM'
