 5n-lacey.09-Eng        Tebo-ICT,  license #BoJie
R60005       -4.3173    1.2417  180.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R60006       -6.5327    1.1276   90.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R60007       -5.3205    0.9201    0.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R60008       -1.5626   -0.1555   90.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R60033       -5.5197    1.1644    0.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R60037       -5.0240    1.1130  270.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R60038       -5.5748    1.6150   90.0  AA   (T)  '0402_P4MM-S', '0402_P4MM-S'
R60040       -5.9650    1.5186  270.0  AA   (T)  '0201S_P3', '0201S_P3'
R60041       -4.8957    0.8552    0.0  AA   (T)  '0201S_P3', '0201S_P3'
R60042       -5.3465    1.8813  270.0  AA   (T)  '0201_P3MM', '0201_P3MM'
R60043       -4.7870    1.0579    0.0  AA   (T)  '0201_P26', '0201_P26'
R60044       -5.0689    1.3636  180.0  AA   (T)  '0201_P3MM', '0201_P3MM'
R60048       -5.0185    1.2272    0.0  AA   (T)  '0201_P3MM', '0201_P3MM'
R60049       -5.5000    1.3748  180.0  AA   (T)  '0201_P3MM', '0201_P3MM'
R61002       -2.0433    2.0067  180.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R61003       -1.7000    1.8300  270.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R61004       -1.9685    1.6811  180.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R62001       -6.0665    2.3524  270.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R63001       -6.9825    1.1458  180.0  AA   (T)  'RES_4_1P6X3P2XP7MM', 'RES_4_1P6X3P2XP7MM'
R63002       -6.9961    1.0257   90.0  AA   (T)  '0201_P26MM', '0201_P26MM'
R63003       -6.9744    1.0257   90.0  AA   (T)  '0201_P26MM', '0201_P26MM'
R63005       -6.7963    0.7521   90.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R63006       -6.6772    0.9074  180.0  AA   (T)  '0603_P6MM', '0603_P6MM'
R63007       -6.7055    0.9959    0.0  AA   (T)  '0201_P26MM', '0201_P26MM'
R63008       -6.6219    0.9021  270.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R63009       -6.5506    0.9889   90.0  AA   (T)  'RES_4_1P6X3P2XP7MM', 'RES_4_1P6X3P2XP7MM'
R63010       -6.7055    0.9743    0.0  AA   (T)  '0201_P26MM', '0201_P26MM'
R63011       -6.7746    0.7521   90.0  AA   (T)  '0201_P3MM', '0201_P3MM'
R63012       -6.9636    0.7461    0.0  AA   (T)  '0402_P4MM-S', '0402_P4MM-S'
R63013       -6.7850    0.7170  180.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R63014       -6.9331    0.6088    0.0  AA   (T)  '0201_P3MM', '0201_P3MM'
R63015       -6.7535    0.7525   90.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R63016       -6.8396    0.7521   90.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R63017       -6.8179    0.7521   90.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R63019       -6.6632    0.7115  270.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R63020       -6.6988    0.8071    0.0  AA   (T)  '0201_P26', '0201_P26'
R63021       -6.6998    0.8503    0.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R63022       -6.8933    0.7200    0.0  AA   (T)  '0201_P3MM', '0201_P3MM'
R63028       -6.8297    0.6950  180.0  AA   (T)  '0201_P3MM', '0201_P3MM'
R63029       -6.7096    0.7521  270.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R63030       -6.8661    1.0984    0.0  AA   (T)  '0402_P4MM-S', '0402_P4MM-S'
R63031       -6.9094    1.0315   90.0  AA   (T)  '0402_P4MM-S', '0402_P4MM-S'
R63032       -6.6998    0.8719  180.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R63033       -6.9715    0.8308  180.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R63034       -6.9327    0.6344  180.0  AA   (T)  '0201_P26', '0201_P26'
R63044       -6.7437    0.7170    0.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R63046       -6.6520    0.5812   90.0  AA   (T)  '0201_P3', '0201_P3'
R63048       -6.3880    1.0125  270.0  AA   (T)  '0603_P55MM', '0603_P55MM'
R63049       -7.0459    0.6865    0.0  AA   (T)  '0603_P55MM', '0603_P55MM'
R63050       -6.7321    0.7524  270.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R63051       -6.8183    1.0721   90.0  AA   (T)  '0402_P4MM-S', '0402_P4MM-S'
R63052       -6.4341    1.0125  270.0  AA   (T)  '0603_P55MM', '0603_P55MM'
R63053       -6.6419    0.7938  270.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R63055       -6.8913    0.6344    0.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R63056       -6.8933    0.6954  180.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R63057       -6.7870    0.6954    0.0  AA   (T)  'RES_0201_12MIL', 'RES_0201_12MIL'
R63058       -6.6299    0.8479  270.0  AA   (T)  '0402_P4MM', '0402_P4MM'
R63059       -7.0453    0.5463    0.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R63060       -6.6791    0.7638  180.0  AA   (T)  '0201_P3MM', '0201_P3MM'
R63061       -6.6791    0.7854  180.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R65006       -5.6900    2.5315    0.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R65016       -6.0817    1.1959  270.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R65031       -0.8686    0.3493    0.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R6601        -3.7028    0.3786  180.0  AA   (T)  '0201_P3-W', '0201_P3-W'
R6602        -3.4628    0.3161    0.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6603        -3.7422    0.3999  180.0  AA   (T)  '0201S_P26', '0201S_P26'
R6604        -3.6226    0.3821    0.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6605        -3.4271    0.1599    0.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6606        -3.4271    0.1382  180.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6607        -3.7970    0.2091  180.0  AA   (T)  '0201S_P26', '0201S_P26'
R6608        -3.7967    0.1877  180.0  AA   (T)  '0201_P28', '0201_P28'
R6609        -3.7569   -0.0030  270.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6610        -3.7569    0.0364   90.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6611        -3.7315    0.0364   90.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6612        -3.7858    0.1125  270.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6613        -3.7315   -0.0030  270.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6614        -3.4665    0.1815    0.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6615        -3.8070    0.1125   90.0  AA   (T)  '0201_P28', '0201_P28'
R6616        -3.4665    0.1599  180.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6617        -3.4665    0.1382  180.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6618        -3.4763    0.1028   90.0  AA   (T)  '0201_P28', '0201_P28'
R6619        -3.8324    0.1661  180.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6620        -3.4448    0.0890    0.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6621        -3.5006    0.0332   90.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6622        -3.7930    0.1661    0.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6623        -3.7930    0.1443    0.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6624        -3.8324    0.1443  180.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6625        -3.6954    0.0425    0.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6626        -3.6646   -0.0050  270.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6627        -3.6646    0.0343   90.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6628        -3.6427    0.0343   90.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6629        -3.6960    0.0212    0.0  AA   (T)  '0201_P28', '0201_P28'
R6630        -3.6427   -0.0050  270.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6631        -3.6100    0.0214  180.0  AA   (T)  '0201_P26', '0201_P26'
R6632        -3.5707    0.0214  180.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6633        -3.5313    0.0214    0.0  AA   (T)  '0201S_P26', '0201S_P26'
R6634        -3.6635    0.4331  180.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6635        -3.6635    0.4107    0.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6636        -3.7422    0.4208    0.0  AA   (T)  '0201S_P28', '0201S_P28'
R6637        -3.4622    0.2945  180.0  AA   (T)  '0201_P28', '0201_P28'
R6638        -3.4672    0.2037    0.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6639        -3.4271    0.1815    0.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6703        -2.7597    0.6774    0.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6704        -2.4542    0.9675  270.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R6705        -2.5325    0.6614  180.0  AA   (T)  '0603S_P6-W95', '0603S_P6-W95'
R6721        -3.3802    0.6714    0.0  AA   (T)  '0603_P6', '0603_P6'
R6723        -2.3744    1.1405  180.0  AA   (T)  '0603_P6', '0603_P6'
R6801        -4.2899    0.5904  270.0  AA   (T)  '0603_P6', '0603_P6'
R6802        -4.2991    0.8289  270.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R69001       -0.3917    0.1999    0.0  AA   (T)  'RES_0201_12MIL', 'RES_0201_12MIL'
R69003       -0.3923    0.1777    0.0  AA   (T)  'RES_0201_12MIL', 'RES_0201_12MIL'
R69004       -0.3962   -0.0635  270.0  AA   (T)  '0603_P55', '0603_P55'
R69005       -0.2768   -0.1049  270.0  AA   (T)  '0402_P4-S', '0402_P4-S'
R69006       -0.5950    0.3150  180.0  AA   (T)  'RES_0201_12MIL', 'RES_0201_12MIL'
R69007       -0.1732   -0.1049  270.0  AA   (T)  '0402_P4-S', '0402_P4-S'
R69009       -0.5518    0.2294   90.0  AA   (T)  'RES_0201_12MIL', 'RES_0201_12MIL'
R69011       -0.2453   -0.1049  270.0  AA   (T)  '0402_P4-S', '0402_P4-S'
R69012       -0.5963   -0.0399  270.0  AA   (T)  'RES_0201_12MIL', 'RES_0201_12MIL'
R69014       -0.3894    0.2234  180.0  AA   (T)  '0201_P28', '0201_P28'
R69017       -0.2800    0.0849   90.0  AA   (T)  '0201_P26', '0201_P26'
R69018       -0.2047   -0.1049  270.0  AA   (T)  '0402_P4-S', '0402_P4-S'
R69019       -0.4683    0.3844   90.0  AA   (T)  'RES_0201_12MIL', 'RES_0201_12MIL'
R69020       -0.2548    0.1545    0.0  AA   (T)  'RES_0201_12MIL', 'RES_0201_12MIL'
R69022       -0.3600   -0.0100    0.0  AA   (T)  '0201_P26', '0201_P26'
R69023       -0.5650    0.1350  180.0  AA   (T)  '0201_P26', '0201_P26'
R69026       -0.5950    0.2650    0.0  AA   (T)  'RES_0201_12MIL', 'RES_0201_12MIL'
R69027       -0.5950    0.2900    0.0  AA   (T)  '0201_P28', '0201_P28'
R69028       -0.5608    0.1970  180.0  AA   (T)  '0201_P26', '0201_P26'
R69029       -0.3917    0.1558    0.0  AA   (T)  '0201_P26', '0201_P26'
R69035       -0.6085   -0.0793    0.0  AA   (T)  '0201_P3', '0201_P3'
R69037       -0.7636   -0.0694   90.0  AA   (T)  '0201_P3', '0201_P3'
R69040       -0.3061    0.1545    0.0  AA   (T)  '0201_P3-W', '0201_P3-W'
R70040       -8.0766    2.0909    0.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R70041       -3.4653    0.0676  180.0  AA   (T)  '0201_P28', '0201_P28'
R70042       -3.3594    0.0221   90.0  AA   (T)  '0201_P28', '0201_P28'
R70043       -3.4023    0.0745  180.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R70070       -3.3136   -0.0098   90.0  AA   (T)  '0201_P3MM', '0201_P3MM'
R72003       -8.0000    2.6194    0.0  AA   (T)  '0603_P6MM-S', '0603_P6MM-S'
R72004       -8.0620    2.5944  270.0  AA   (T)  '0402_P4MM-S', '0402_P4MM-S'
R72007       -7.9632    2.3661   90.0  AA   (T)  '0201_P3MM', '0201_P3MM'
R72008       -8.0010    2.6299    0.0  AA   (B)  '0201_P28MM-W_B', '0201_P28MM-W_B'
R72010       -7.9986    2.3760    0.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R72012       -8.0250    2.5315  270.0  AA   (T)  '0201_P26MM', '0201_P26MM'
R72013       -7.9522    2.4902  270.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R72036       -8.0450    2.8708  180.0  AA   (T)  '0201_P3MM', '0201_P3MM'
RN47001      -0.0055    0.2684    0.0  AA   (T)  'IND4_1P25X1XP35_1P2XP55MM', 'IND4_1P25X1XP35_1P2XP55MM'
RN47002       0.0008    0.5061    0.0  AA   (T)  'IND4_1P25X1XP35_1P2XP55MM', 'IND4_1P25X1XP35_1P2XP55MM'
RN47003      -0.0011    0.5701    0.0  AA   (T)  'IND4_1P25X1XP35_1P2XP55MM', 'IND4_1P25X1XP35_1P2XP55MM'
RN47004      -0.0008    0.6342    0.0  AA   (T)  'IND4_1P25X1XP35_1P2XP55MM', 'IND4_1P25X1XP35_1P2XP55MM'
RN54001      -4.9284    2.8602   90.0  AA   (T)  'IND_4P_1P25X1XP92MM', 'IND_4P_1P25X1XP92MM'
RN54002      -4.8642    2.8602   90.0  AA   (T)  'IND_4P_1P25X1XP92MM', 'IND_4P_1P25X1XP92MM'
RN54003      -4.7602    2.8602   90.0  AA   (T)  'IND_4P_1P25X1XP92MM', 'IND_4P_1P25X1XP92MM'
RN54005      -4.8307    2.5256  270.0  AA   (T)  'IND_4P_1P25X1XP92MM', 'IND_4P_1P25X1XP92MM'
RT60001      -4.2634    1.2417    0.0  AA   (T)  'THERM_0402_22MIL', 'THERM_0402_22MIL'
RT60002      -6.5591    1.1358   90.0  AA   (T)  'THERM_0402_22MIL', 'THERM_0402_22MIL'
RT60003      -5.3122    0.8929    0.0  AA   (T)  'THERM_0402_22MIL', 'THERM_0402_22MIL'
RT60004      -1.5165   -0.1555    0.0  AA   (T)  'THERM_0402_22MIL', 'THERM_0402_22MIL'
C12001       -2.4265    2.4817    0.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C12002       -4.1772    2.4390   90.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C12003       -3.6417    2.5079  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C12004       -3.6937    2.6393   45.0  AA   (B)  '0402_P65MM-W_B', '0402_P65MM-W_B'
C12005       -2.3349    2.8239   90.0  AA   (B)  '0402_P65MM-W_B', '0402_P65MM-W_B'
C12010       -2.9713    2.6728  270.0  AA   (B)  '0402_P65MM-W_B', '0402_P65MM-W_B'
C12011       -3.7126    2.5197  270.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C12020       -2.8740    2.0142  270.0  AA   (B)  '0402_P56MM_B', '0402_P56MM_B'
C12021       -2.9539    2.0008  180.0  AA   (B)  '0402_P56MM_B', '0402_P56MM_B'
C12022       -2.9539    2.0323  180.0  AA   (B)  '0402_P56MM_B', '0402_P56MM_B'
C12023       -3.1437    1.9823   90.0  AA   (B)  '0402_P56MM_B', '0402_P56MM_B'
C12024       -3.0945    2.0335    0.0  AA   (B)  '0402_P65MM-W_B', '0402_P65MM-W_B'
C12025       -3.1575    2.0335  180.0  AA   (B)  '0402_P65MM-W_B', '0402_P65MM-W_B'
C12033       -2.4282    1.2352    0.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C12034       -2.4282    1.2835    0.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C12040       -2.6398    1.3563    0.0  AA   (T)  '0402_P56MM', '0402_P56MM'
C12041       -2.5937    1.5661    0.0  AA   (B)  '0402_P65-W_B', '0402_P65-W_B'
C12042       -2.6732    1.6555  270.0  AA   (B)  '0402_P56MM_B', '0402_P56MM_B'
C12043       -2.5276    1.3189    0.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C12044       -2.5276    1.3544    0.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C12045       -2.8602    1.2824  180.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C12046       -2.7253    1.2480  270.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C12047       -2.6398    1.3227    0.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C12048       -2.6398    1.2872    0.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C12049       -2.7461    1.9862    0.0  AA   (B)  '0402_P56MM_B', '0402_P56MM_B'
C12050       -4.0945    2.0522  180.0  AA   (T)  '0603_1-W', '0603_1-W'
C12051       -4.0453    2.0029    0.0  AA   (T)  '0603_1-W', '0603_1-W'
C12069       -2.8602    1.3542  180.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C12070       -2.8602    1.3179  180.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C12089       -2.5976    1.3484   90.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C12090       -2.4803    1.3484   90.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C13017       -3.6988    1.3542  180.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13018       -3.6988    1.3187  180.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13019       -3.6230    1.3187    0.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13020       -3.6230    1.3542    0.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13021       -3.4626    1.2804    0.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13022       -3.4626    1.2450    0.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13023       -3.9350    1.7126   90.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13024       -3.8976    1.7972  270.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13025       -3.8976    1.8612   90.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13026       -3.9350    1.6496  270.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13027       -3.8976    1.7126   90.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13028       -3.8976    1.6496  270.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13083       -3.2390    1.2833    0.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13084       -3.0925    1.3187    0.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13085       -2.9232    1.3179    0.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13086       -3.0079    1.2833  180.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13087       -3.0925    1.3542    0.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13088       -3.1555    1.3187  180.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13089       -3.0079    1.3542  180.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13090       -2.9232    1.3542    0.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13091       -3.3983    1.2450  180.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13097       -3.0925    1.2833    0.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13098       -3.1555    1.3542  180.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13099       -3.0079    1.3187  180.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13106       -4.3583    1.7677  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13107       -3.9685    1.4754  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13108       -4.0236    1.6683  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13109       -3.9685    1.5581   90.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13122       -4.1260    1.8593   90.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13123       -4.2313    1.1847  180.0  AA   (T)  '0805_1P45MM', '0805_1P45MM'
C13131       -4.2313    1.1161  180.0  AA   (T)  '0805_1P45MM', '0805_1P45MM'
C13164       -3.1791    1.9615    0.0  AA   (B)  '0201_P35-W', '0201_P35-W'
C13165       -3.1791    2.0048    0.0  AA   (B)  '0201_P35-W', '0201_P35-W'
C13166       -3.1791    1.9831    0.0  AA   (B)  '0201_P35-W', '0201_P35-W'
C13167       -3.2200    2.0048  180.0  AA   (B)  '0201_P35-W', '0201_P35-W'
C13168       -3.2200    1.9615  180.0  AA   (B)  '0201_P35-W', '0201_P35-W'
C13169       -3.2200    1.9831  180.0  AA   (B)  '0201_P35-W', '0201_P35-W'
C13170       -3.0669    1.9606  180.0  AA   (B)  '0201_P35-W', '0201_P35-W'
C13171       -3.0669    2.0039  180.0  AA   (B)  '0201_P35-W', '0201_P35-W'
C13172       -3.1063    2.0039    0.0  AA   (B)  '0201_P35-W', '0201_P35-W'
C13173       -3.0669    1.9823  180.0  AA   (B)  '0201_P35-W', '0201_P35-W'
C13174       -3.1063    1.9606    0.0  AA   (B)  '0201_P35-W', '0201_P35-W'
C13175       -3.1063    1.9823    0.0  AA   (B)  '0201_P35-W', '0201_P35-W'
C13190       -3.2943    1.0768    0.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13191       -3.1634    0.9823  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13192       -3.4163    1.1240  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13193       -2.9409    1.0581   90.0  AA   (T)  '0805_1P45MM', '0805_1P45MM'
C13194       -2.8740    1.0581   90.0  AA   (T)  '0805_1P45MM', '0805_1P45MM'
C13195       -3.2943    1.1240    0.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13196       -3.1624    1.1250  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13197       -3.0797    1.0778    0.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13198       -3.1624    1.0778  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13199       -3.0797    1.0305    0.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13200       -3.4163    1.0768  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13201       -3.0807    0.9823    0.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13202       -3.1624    1.0305  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13203       -3.0797    1.1250    0.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13300       -3.6575    1.1339  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13301       -3.5709    1.1339    0.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13302       -4.2736    1.6693  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13303       -4.1211    1.6703   90.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13304       -4.0315    1.4035    0.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13305       -3.5571    1.0758    0.0  AA   (T)  '0805_1P45MM', '0805_1P45MM'
C13306       -4.0157    1.4754  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13307       -4.0256    1.7874   90.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13308       -4.2913    1.7343  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13309       -4.2303    1.0581  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13310       -3.6575    1.0866  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13311       -4.1260    1.7766  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13312       -3.7942    1.1348  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13313       -4.3593    1.4858  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13314       -4.3583    1.5331  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13315       -4.1211    1.5876  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13316       -3.9764    1.6683  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13317       -4.0315    1.0522    0.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13318       -4.0157    1.5581   90.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13319       -4.0175    1.1102    0.0  AA   (T)  '0805_1P45MM', '0805_1P45MM'
C13320       -3.9783    1.7874   90.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C13321       -4.2028    1.7500   90.0  AA   (T)  '0805_1P45MM', '0805_1P45MM'
C13322       -3.9341    1.8612   90.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13323       -3.9341    1.7972  270.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13329       -3.3983    1.3538  180.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13330       -3.2390    1.3542    0.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13331       -3.1555    1.2833  180.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13332       -3.3984    1.3176  180.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13333       -3.2390    1.3187    0.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13334       -3.3983    1.2804  180.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13335       -3.5600    1.3187  180.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13336       -3.4618    1.3181    0.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13337       -3.5600    1.3542  180.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13338       -3.4618    1.3535    0.0  AA   (T)  '0402_P7-W', '0402_P7-W'
C13339       -2.8685    1.6496  270.0  AA   (B)  '0402_P7-W_B', '0402_P7-W_B'
C13340       -2.9394    1.6496  270.0  AA   (B)  '0402_P7-W_B', '0402_P7-W_B'
C13341       -2.9039    1.6496  270.0  AA   (B)  '0402_P7-W_B', '0402_P7-W_B'
C13342       -2.9736    1.5453   90.0  AA   (B)  '0402_P7-W_B', '0402_P7-W_B'
C13343       -2.9748    1.6496  270.0  AA   (B)  '0402_P7-W_B', '0402_P7-W_B'
C13344       -3.0102    1.6496  270.0  AA   (B)  '0402_P7-W_B', '0402_P7-W_B'
C13345       -3.0457    1.6496  270.0  AA   (B)  '0402_P7-W_B', '0402_P7-W_B'
C13346       -2.9024    1.5454   90.0  AA   (B)  '0402_P7-W_B', '0402_P7-W_B'
C13347       -3.0091    1.5453   90.0  AA   (B)  '0402_P7-W_B', '0402_P7-W_B'
C13348       -2.9382    1.5453   90.0  AA   (B)  '0402_P7-W_B', '0402_P7-W_B'
C1502        -2.2848    1.3065    0.0  AA   (T)  '0201S_P33', '0201S_P33'
C1503        -2.3405    1.3303  180.0  AA   (T)  '0201S_P33', '0201S_P33'
C16001       -2.9055    2.8754    0.0  AA   (B)  '0201_P33MM_B', '0201_P33MM_B'
C16002       -2.3487    2.8753    0.0  AA   (B)  '0201_P33MM_B', '0201_P33MM_B'
C16003       -4.0659    2.6472  135.0  AA   (B)  '0201_P33MM_B', '0201_P33MM_B'
C16004       -3.5087    2.6472  135.0  AA   (B)  '0201_P33MM_B', '0201_P33MM_B'
C16005       -3.7776    2.9921  180.0  AA   (T)  '0402_P7MM-W', '0402_P7MM-W'
